vehicle_id,full_name,make,model,variant,resale_price,registered_year,engine_capacity_cc,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power_bhp,seats,mileage_kmpl,body_type,city,vehicle_age,price_per_km,duplicate_record_flag
0,2017 Maruti Baleno 1.2 Alpha,Maruti,Baleno,1.2 Alpha,545000.0,2017,1197,Third Party,Manual,40000.0,First Owner,Petrol,83.1,5,21.4,Hatchback,Agra,9,13.625,0
1,2018 Tata Hexa XTA,Tata,Hexa,XTA,1000000.0,2018,2179,Third Party,Automatic,70000.0,First Owner,Diesel,153.86,7,17.6,MUV,Agra,8,14.285714285714286,0
2,2015 Maruti Swift Dzire VXI,Maruti,Swift,Dzire VXI,450000.0,2015,1197,Third Party,Manual,70000.0,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,11,6.428571428571429,0
4,2009 Hyundai i10 Magna 1.1,Hyundai,i10,Magna 1.1,160000.0,2009,1086,Third Party,Manual,80000.0,First Owner,Petrol,68.05,5,19.81,Hatchback,Agra,17,2.0,1
5,2015 Hyundai i20 Active 1.2,Hyundai,i20,Active 1.2,470000.0,2015,1197,Third Party,Manual,70000.0,First Owner,Petrol,81.86,5,17.19,Hatchback,Agra,11,6.714285714285714,0
6,2017 Tata Tiago 1.05 Revotorq XZ,Tata,Tiago,1.05 Revotorq XZ,360000.0,2017,1047,Third Party,Manual,120000.0,First Owner,Diesel,69.0,5,27.28,Hatchback,Agra,9,3.0,0
7,2010 Hyundai i10 Magna 1.1,Hyundai,i10,Magna 1.1,200000.0,2010,1086,Third Party,Manual,60000.0,Second Owner,Petrol,68.05,5,19.81,Hatchback,Agra,16,3.3333333333333335,0
8,2016 Maruti Eeco 7 Seater Standard BSIV,Maruti,Eeco,7 Seater Standard BSIV,370000.0,2016,1196,Third Party,Manual,20000.0,First Owner,Petrol,73.0,7,15.37,Minivans,Agra,10,18.5,0
9,2009 Hyundai Santro Xing GL,Hyundai,Santro,Xing GL,120000.0,2009,1086,Third Party,Manual,30000.0,First Owner,Petrol,62.0,5,18.9,Hatchback,Agra,17,4.0,0
10,2014 Honda Amaze E i-Vtech,Honda,Amaze,E i-Vtech,330000.0,2014,1198,Third Party,Manual,70000.0,First Owner,Petrol,86.7,5,18.0,Sedan,Agra,12,4.714285714285714,0
11,2018 Hyundai Xcent 1.2 VTVT SX,Hyundai,Xcent,1.2 VTVT SX,475000.0,2018,1197,Third Party,Manual,60000.0,Second Owner,Petrol,81.86,5,20.14,Sedan,Agra,8,7.916666666666667,1
12,2020 Maruti Ciaz Sigma BSIV,Maruti,Ciaz,Sigma BSIV,686000.0,2020,1462,Third Party,Manual,50000.0,Third Owner,Petrol,103.25,5,21.56,Sedan,Agra,6,13.72,0
13,2021 Hyundai Venue SX Opt Executive Diesel,Hyundai,Venue,SX Opt Executive Diesel,1250000.0,2021,1493,Third Party,Manual,60000.0,First Owner,Diesel,98.6,5,23.7,SUV,Agra,5,20.833333333333332,0
14,2021 Hyundai Venue SX Dual Tone Diesel BSIV,Hyundai,Venue,SX Dual Tone Diesel BSIV,1100000.0,2021,1396,Third Party,Manual,60000.0,First Owner,Diesel,89.0,5,23.7,SUV,Agra,5,18.333333333333332,0
15,2019 Maruti Alto K10 VXI AGS Optional,Maruti,Alto,K10 VXI AGS Optional,395000.0,2019,998,Third Party,Automatic,20000.0,First Owner,Petrol,67.1,5,23.95,Hatchback,Agra,7,19.75,0
16,2016 Maruti Wagon R LXI CNG,Maruti,Wagon,R LXI CNG,350000.0,2016,998,Third Party,Manual,40000.0,First Owner,CNG,58.16,5,26.6,Hatchback,Agra,10,8.75,0
17,2011 Toyota Etios VX,Toyota,Etios,VX,289000.0,2011,1496,Third Party,Manual,50000.0,Second Owner,Petrol,88.7,5,17.6,Sedan,Agra,15,5.78,0
18,2011 Toyota Corolla Altis Diesel D4DGL,Toyota,Corolla,Altis Diesel D4DGL,282000.0,2011,1364,Third Party,Manual,150000.0,First Owner,Diesel,87.2,5,21.43,Sedan,Agra,15,1.88,0
19,2021 Kia Sonet HTX Plus Turbo iMT BSVI,Kia,Sonet,HTX Plus Turbo iMT BSVI,1000000.0,2021,998,Third Party,Manual,10000.0,First Owner,Petrol,118.36,5,18.2,SUV,Agra,5,100.0,0
20,2020 Maruti Ciaz Alpha BSVI,Maruti,Ciaz,Alpha BSVI,785000.0,2020,1462,Third Party,Manual,30000.0,Second Owner,Petrol,103.25,5,20.65,Sedan,Agra,6,26.166666666666668,0
21,2014 Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Ecosport,1.5 DV5 MT Ambiente,300000.0,2014,1498,Third Party,Manual,150000.0,Third Owner,Diesel,89.84,5,22.7,SUV,Agra,12,2.0,0
22,2011 Mitsubishi Outlander 2.4,Mitsubishi,Outlander,2.4,397000.0,2011,2360,Third Party,Automatic,80000.0,Second Owner,Petrol,170.0,5,11.3,SUV,Agra,15,4.9625,0
23,2015 Maruti Swift Dzire VDI,Maruti,Swift,Dzire VDI,375000.0,2015,1248,Third Party,Manual,20000.0,First Owner,Diesel,74.0,5,26.59,Sedan,Agra,11,18.75,0
24,2011 Maruti Alto K10 LXI,Maruti,Alto,K10 LXI,100000.0,2011,998,Third Party,Manual,120000.0,Third Owner,Petrol,67.1,5,20.92,Hatchback,Agra,15,0.8333333333333334,0
26,2021 Maruti Baleno Zeta,Maruti,Baleno,Zeta,675000.0,2021,1197,Third Party,Manual,40000.0,First Owner,Petrol,81.8,5,21.01,Hatchback,Agra,5,16.875,0
27,2018 Hyundai Xcent 1.2 VTVT SX,Hyundai,Xcent,1.2 VTVT SX,465000.00000000006,2018,1197,Third Party,Manual,60000.0,Second Owner,Petrol,81.86,5,20.14,Sedan,Agra,8,7.750000000000001,1
28,2015 Maruti Swift Dzire VXI,Maruti,Swift,Dzire VXI,480000.0,2015,1197,Third Party,Manual,80000.0,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,11,6.0,1
29,2014 Maruti Alto 800 LXI,Maruti,Alto,800 LXI,225000.0,2014,796,Third Party,Manual,100000.0,First Owner,Petrol,47.3,5,22.74,Hatchback,Agra,12,2.25,0
30,2016 Maruti Wagon R VXI Optional,Maruti,Wagon,R VXI Optional,320000.0,2016,998,Third Party,Manual,70000.0,Second Owner,Petrol,67.04,5,20.51,Hatchback,Agra,10,4.571428571428571,0
31,2015 Hyundai Grand i10 Sportz,Hyundai,Grand,i10 Sportz,415000.00000000006,2015,1197,Third Party,Manual,30000.0,First Owner,Petrol,82.0,5,18.9,Hatchback,Agra,11,13.833333333333336,0
32,2012 Maruti Swift VDI,Maruti,Swift,VDI,240000.0,2012,1248,Third Party,Manual,120000.0,Third Owner,Diesel,74.0,5,22.9,Hatchback,Agra,14,2.0,1
33,2013 Mahindra XUV500 W6 2WD,Mahindra,XUV500,W6 2WD,350000.0,2013,2179,Third Party,Manual,100000.0,Third Owner,Diesel,140.0,7,15.1,SUV,Agra,13,3.5,1
35,2013 Tata New Safari DICOR 2.2 EX 4x2,Tata,New,Safari DICOR 2.2 EX 4x2,296000.0,2013,2179,Third Party,Manual,90000.0,Second Owner,Diesel,138.1,7,11.57,SUV,Agra,13,3.2888888888888888,0
37,2018 Tata Tiago 1.2 Revotron XE,Tata,Tiago,1.2 Revotron XE,316000.0,2018,1199,Third Party,Manual,100000.0,First Owner,Petrol,84.0,5,23.84,Hatchback,Agra,8,3.16,0
38,2017 Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Vitara,Brezza ZDi Plus Dual Tone,750000.0,2017,1248,Third Party,Manual,100000.0,Second Owner,Diesel,88.5,5,24.3,SUV,Agra,9,7.5,0
39,2019 Maruti Ertiga VDI,Maruti,Ertiga,VDI,900000.0,2019,1248,Third Party,Manual,120000.0,First Owner,Diesel,88.5,7,25.47,MUV,Agra,7,7.5,0
40,2022 Maruti Celerio VXI BSVI,Maruti,Celerio,VXI BSVI,560000.0,2022,998,Third Party,Manual,10000.0,First Owner,Petrol,65.71,5,25.24,Hatchback,Agra,4,56.0,1
41,2017 Maruti Vitara Brezza ZDi Plus,Maruti,Vitara,Brezza ZDi Plus,800000.0,2017,1248,Third Party,Manual,150000.0,First Owner,Diesel,88.5,5,24.3,SUV,Agra,9,5.333333333333333,0
42,2017 Hyundai Creta 1.4 E Plus,Hyundai,Creta,1.4 E Plus,900000.0,2017,1396,Third Party,Manual,120000.0,Second Owner,Diesel,88.7,5,22.1,SUV,Agra,9,7.5,0
43,2019 Maruti Alto 800 LXI,Maruti,Alto,800 LXI,280000.0,2019,796,Third Party,Manual,80000.0,First Owner,Petrol,47.33,5,22.05,Hatchback,Agra,7,3.5,0
44,2013 Toyota Innova 2.5 E Diesel MS 7-seater,Toyota,Innova,2.5 E Diesel MS 7-seater,550000.0,2013,2494,Third Party,Manual,90000.0,Second Owner,Diesel,100.6,7,11.4,Toyota,Agra,13,6.111111111111111,0
45,2009 Toyota Innova 2.5 G (Diesel) 7 Seater BS III,Toyota,Innova,2.5 G (Diesel) 7 Seater BS III,250000.0,2009,2494,Third Party,Manual,150000.0,First Owner,Diesel,102.0,8,12.8,MUV,Agra,17,1.6666666666666667,0
46,2011 Tata Manza Aqua Quadrajet,Tata,Manza,Aqua Quadrajet,150000.0,2011,1248,Third Party,Manual,150000.0,First Owner,Diesel,90.0,5,18.8,Sedan,Agra,15,1.0,0
