index,full_name,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,year,make,model,variant
0,2017 Maruti Baleno 1.2 Alpha,545000.0,1197,Third Party,Manual,40000.0,First Owner,Petrol,83.1,5,21.4,Hatchback,Agra,2017,Maruti,Baleno,1.2 Alpha
1,2018 Tata Hexa XTA,1000000.0,2179,Third Party,Automatic,70000.0,First Owner,Diesel,153.86,7,17.6,MUV,Agra,2018,Tata,Hexa,XTA
2,2015 Maruti Swift Dzire VXI,450000.0,1197,Third Party,Manual,70000.0,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,2015,Maruti,Swift,Dzire VXI
4,2009 Hyundai i10 Magna 1.1,160000.0,1086,Third Party,Manual,80000.0,First Owner,Petrol,68.05,5,19.81,Hatchback,Agra,2009,Hyundai,i10,Magna 1.1
5,2015 Hyundai i20 Active 1.2,470000.0,1197,Third Party,Manual,70000.0,First Owner,Petrol,81.86,5,17.19,Hatchback,Agra,2015,Hyundai,i20,Active 1.2
6,2017 Tata Tiago 1.05 Revotorq XZ,360000.0,1047,Third Party,Manual,120000.0,First Owner,Diesel,69.0,5,27.28,Hatchback,Agra,2017,Tata,Tiago,1.05 Revotorq XZ
7,2010 Hyundai i10 Magna 1.1,200000.0,1086,Third Party,Manual,60000.0,Second Owner,Petrol,68.05,5,19.81,Hatchback,Agra,2010,Hyundai,i10,Magna 1.1
8,2016 Maruti Eeco 7 Seater Standard BSIV,370000.0,1196,Third Party,Manual,20000.0,First Owner,Petrol,73.0,7,15.37,Minivans,Agra,2016,Maruti,Eeco,7 Seater Standard BSIV
9,2009 Hyundai Santro Xing GL,120000.0,1086,Third Party,Manual,30000.0,First Owner,Petrol,62.0,5,18.9,Hatchback,Agra,2009,Hyundai,Santro,Xing GL
10,2014 Honda Amaze E i-Vtech,330000.0,1198,Third Party,Manual,70000.0,First Owner,Petrol,86.7,5,18.0,Sedan,Agra,2014,Honda,Amaze,E i-Vtech
11,2018 Hyundai Xcent 1.2 VTVT SX,475000.0,1197,Third Party,Manual,60000.0,Second Owner,Petrol,81.86,5,20.14,Sedan,Agra,2018,Hyundai,Xcent,1.2 VTVT SX
12,2020 Maruti Ciaz Sigma BSIV,686000.0,1462,Third Party,Manual,50000.0,Third Owner,Petrol,103.25,5,21.56,Sedan,Agra,2020,Maruti,Ciaz,Sigma BSIV
13,2021 Hyundai Venue SX Opt Executive Diesel,1250000.0,1493,Third Party,Manual,60000.0,First Owner,Diesel,98.6,5,23.7,SUV,Agra,2021,Hyundai,Venue,SX Opt Executive Diesel
14,2021 Hyundai Venue SX Dual Tone Diesel BSIV,1100000.0,1396,Third Party,Manual,60000.0,First Owner,Diesel,89.0,5,23.7,SUV,Agra,2021,Hyundai,Venue,SX Dual Tone Diesel BSIV
15,2019 Maruti Alto K10 VXI AGS Optional,395000.0,998,Third Party,Automatic,20000.0,First Owner,Petrol,67.1,5,23.95,Hatchback,Agra,2019,Maruti,Alto,K10 VXI AGS Optional
16,2016 Maruti Wagon R LXI CNG,350000.0,998,Third Party,Manual,40000.0,First Owner,CNG,58.16,5,26.6,Hatchback,Agra,2016,Maruti,Wagon,R LXI CNG
17,2011 Toyota Etios VX,289000.0,1496,Third Party,Manual,50000.0,Second Owner,Petrol,88.7,5,17.6,Sedan,Agra,2011,Toyota,Etios,VX
18,2011 Toyota Corolla Altis Diesel D4DGL,282000.0,1364,Third Party,Manual,150000.0,First Owner,Diesel,87.2,5,21.43,Sedan,Agra,2011,Toyota,Corolla,Altis Diesel D4DGL
19,2021 Kia Sonet HTX Plus Turbo iMT BSVI,1000000.0,998,Third Party,Manual,10000.0,First Owner,Petrol,118.36,5,18.2,SUV,Agra,2021,Kia,Sonet,HTX Plus Turbo iMT BSVI
